# SE UI Text Swedish Translation
# Format: KEY<TAB>Swedish text (or [E]English text if untranslated)
#
MENU_ACHIEVEMENTS	Prestationer
MENU_SAVESLOT_LOAD_CONFIRM	Vill du verkligen ladda från denna sparplats?
MENU_SAVESLOT_OVERWRITE	Vill du verkligen skriva över denna sparplats? Alla framsteg i denna sparplats kommer att gå förlorade.
MENU_QUIT_TO_MAIN	Vill du verkligen avsluta till huvudmenyn?
MENU_BACK	Tillbaka
MENU_CLASSIC_EDITION_CREDITS	Klassiska Utgåvans Upphovspersoner
MENU_CONTINUE_WITHOUT_SAVE	Fortsätt Utan Att Spara
MENU_CONTROLS	Kontroller
MENU_CREATE_NEW_SAVE_DATA	Skapa Ny Spardata
MENU_WARNING_DO_NOT_TURN_OFF_XBOX	Stäng inte av Xbox 360 eller ta bort lagringsenheten när ikonen ovan visas på skärmen.
MENU_EXIT_GAME	Avsluta Spelet
MENU_FAILED_TO_SAVE	Kunde inte Spara
MENU_HELP_AND_OPTIONS	Hjälp och Alternativ
MENU_HOW_TO_PLAY	Så Här Spelar Du
MENU_LEADERBOARDS	Leaderboards
MENU_LOAD_GAME	Ladda Spel
MENU_WARNING_LOADING_GAME	Laddar spel. Stäng inte av din Xbox 360.
MENU_MONKEY_ISLAND_TITLE_NAME	Monkey Island
MENU_MUSIC_VOLUME	Musikvolym
MENU_WARNING_NO_STORAGE_SELECTED	Ingen lagringsenhet har valts. Välj en lagringsenhet eller fortsätt utan att spara.
MENU_OK	OK
MENU_WARNING_CHOOSE_STORAGE_SPACE_NEEDED	Välj en lagringsenhet med minst %iKB ledigt utrymme, annars kan du inte spara.
MENU_WARNING_QUIT_WITHOUT_SAVE	Om du avslutar utan att spara går alla osparade framsteg förlorade.
MENU_RETRY_LOAD	Försök Ladda Igen
MENU_RETURN_TO_GAME	Återgå till Spelet
MENU_WARNING_SAVE_DATA_NOT_FOUND	Spardata hittades inte på lagringsenheten. Vill du skapa ny spardata eller fortsätta utan att spara?
MENU_SAVE_GAME	Spara Spel
MENU_SAVE_GAME_DAMAGED	Sparfilen verkar vara skadad och kan inte användas.
MENU_WARNING_SAVING_CONTENT	Sparar innehåll. Stäng inte av din konsol.
MENU_SELECT	Välj
MENU_SELECT_STORAGE	Välj En Lagringsenhet
MENU_SETTINGS	Inställningar
MENU_SFX_VOLUME	Effektvolym
MENU_SPECIAL_EDITION_CREDITS	Specialutgåvans Upphovspersoner
MENU_SUBTITLES	Undertexter
MENU_VOICE_VOLUME	Röstvolym
MENU_YES	Ja
MENU_WARNING_360_NOTSIGNEDIN	Du är inte inloggad på Xbox LIVE och kan inte nå Leaderboards.
MENU_WARNING_INVALID_STORAGE_SELECTED	Du har ingen giltig lagringsenhet vald. Om du fortsätter kommer du inte att kunna spara dina framsteg i spelet.
MENU_WARNING_NO_ACTIVE_GAMER_PROFILE	Du har ingen aktiv spelarprofil. Sparfunktion och prestationer kommer att inaktiveras. Tryck på Xbox Guide-knappen för att skapa eller ladda en spelarprofil. Vill du fortsätta utan sparfunktion och prestationer?
MENU_CANCEL	Avbryt
MENU_EXIT	Avsluta
MENU_CHOOSE_LANGUAGE	Välj ditt språk
MENU_AUTOSAVE_AND_QUIT	Autospara och Avsluta
MENU_QUIT_WITHOUT_SAVE	Avsluta Utan Att Spara
MENU_NO	Nej
MENU_LEADERBOARD	Leaderboard
MENU_ON_UPPERCASE	PÅ
MENU_OFF_UPPERCASE	AV
MENU_PLAY_NEW_GAME	Starta Nytt Spel
MENU_CONTINUE_SLASH_LOAD	Fortsätt/Ladda
MENU_RETURN_TO_GAME_LIBRARY	Tillbaka Till Spelbiblioteket
MENU_UNLOCK_FULL_GAME	Lås Upp Hela Spelet
MENU_PRESS_A_TO_VIEW_LEADERBOARD	Tryck på A-knappen för att visa denna leaderboard
MENU_RETRIEVING_RECORDS_LEADERBOARD	Vänta, hämtar poster från Xbox LIVE
MENU_TOTAL_NUM_PLAYERS_LEADERBOARD	Totalt antal spelare:
MENU_FRIENDS	Vänner
MENU_OVERALL	Totalt
MENU_MY_SCORE	Min Poäng
MENU_RANK	Placering
MENU_GAMERTAG	Gamertag
MENU_COMPLETED	Avklarat
MENU_VIEW	Visa
MENU_GAMER_CARD	Spelarkort
MENU_EMPTY	Tom
MENU_AUTOSAVE	Autospara:
MENU_SLOT	Plats
MENU_WARNING_CANNOT_OVERWRITE_AUTOSAVE	Varning - Autosparplatsen kan inte skrivas över
MENU_PART_ONE	Del Ett: De Tre Proven
MENU_PART_TWO	Del Två: Resan
MENU_PART_THREE	Del Tre: Under Monkey Island
MENU_PART_FOUR	Sista Delen: Guybrush Slår Tillbaka
MENU_PLAY_TIME	Speltid:
MENU_PERCENT_COMPLETE	Procent Klart:
MENU_DISCONNECTED_FROM_XBOX_LIVE	Frånkopplad från Xbox LIVE
MENU_PRESS_START	Tryck på START
MENU_HOLD_TO_SKIP	Håll [Y] För Att Hoppa Över
MENU_HOLD_FOR_HINT	Håll [X] För Ledtråd
MENU_NOT_RANKED	Du är ännu inte rankad på denna leaderboard.
MENU_FRIENDS_NOT_RANKED	Dina vänner är ännu inte rankade på denna leaderboard.
MENU_NO_ENTRIES	Det finns inga poster på denna leaderboard.
MENU_ENTRIES	poster
MENU_ENTRY	post
MENU_COULD_NOT_SAVE	Det gick inte att spara data på den valda lagringsenheten.
LOADING	Laddar
CREDITS_Deep In The Caribbean	Djupt I Karibien
CREDITS_The Island of Mêlée	Ön Mêlée
MENU_OVERWRITE	Vill du skriva över tidigare Monkey Island-data?
MENU_NO_CLASSIC_TRANSLATION	Klassiska utgåvan finns bara på svenska.
MENU_FRONTEND_OPTIONS_AUDIO	Ljudalternativ
MENU_FRONTEND_OPTIONS_VIDEO	Bildalternativ
MENU_INGAME_SAVE_GAMESAVINGSHORT	Sparar
OVERLAY_CURSOR	Muspekare
OVERLAY_PRIMARY_SELECT	Primärval
OVERLAY_DEFAULT_SELECT	Standardval
OVERLAY_HINT	Ledtråd
OVERLAY_SKIP_CUTSCENE	Hoppa Över Filmsekvens
OVERLAY_VERBS	Verb
OVERLAY_INVENTORY	Utrustning
OVERLAY_MENU	Meny
OVERLAY_DIALOGUE_SELECTION	Dialogval
OVERLAY_OPEN	Öppna
OVERLAY_USE	Använd
OVERLAY_PICK_UP	Ta
OVERLAY_PUSH	Tryck
OVERLAY_PULL	Dra
OVERLAY_CLOSE	Stäng
OVERLAY_LOOK_AT	Titta På
OVERLAY_TALK_TO	Tala Med
OVERLAY_SUBTITLE_SPEED	Undertexthastighet (Klassisk)
OVERLAY_OR	Eller
